Date,temp
1988-01-01,17
1988-01-02,19.5
1988-01-03,18
1988-01-04,9.5
1988-01-05,9
1988-01-06,12.5
1988-01-07,13.75
1988-01-08,13.5
1988-01-09,17
1988-01-10,16.5
1988-01-11,13
1988-01-12,13.5
1988-01-13,11.5
1988-01-14,15.75
1988-01-15,27.75
1988-01-16,28.75
1988-01-17,22.5
1988-01-18,22
1988-01-19,24.5
1988-01-20,20.5
1988-01-21,25
1988-01-22,19
1988-01-23,19
1988-01-24,20
1988-01-25,12
1988-01-26,13.5
1988-01-27,16.5
1988-01-28,20.75
1988-01-29,26.5
1988-01-30,21
1988-01-31,14.5
1988-02-01,10
1988-02-02,12
1988-02-03,11.5
1988-02-04,10
1988-02-05,12
1988-02-06,13.5
1988-02-07,15.5
1988-02-08,15.75
1988-02-09,12
1988-02-10,11.75
1988-02-11,13
1988-02-12,19.25
1988-02-13,24.5
1988-02-14,20.5
1988-02-15,18
1988-02-16,21
1988-02-17,27.75
1988-02-18,34
1988-02-19,34.5
1988-02-20,18
1988-02-21,26.5
1988-02-22,22.5
1988-02-23,20.5
1988-02-24,23
1988-02-25,25.75
1988-02-26,33
1988-02-27,37.25
1988-02-28,38.25
1988-02-29,27
1988-03-01,26.5
1988-03-02,21.5
1988-03-03,27.25
1988-03-04,30.75
1988-03-05,42
1988-03-06,39
1988-03-07,35.75
1988-03-08,37.25
1988-03-09,38.5
1988-03-10,39.75
1988-03-11,33.75
1988-03-12,24.5
1988-03-13,24.5
1988-03-14,24.5
1988-03-15,27.5
1988-03-16,31.5
1988-03-17,31.5
1988-03-18,28
1988-03-19,27
1988-03-20,28.25
1988-03-21,30.5
1988-03-22,36
1988-03-23,37
1988-03-24,38
1988-03-25,38
1988-03-26,29.25
1988-03-27,30.5
1988-03-28,35
1988-03-29,32.5
1988-03-30,28.5
1988-03-31,29.5
1988-04-01,40.75
1988-04-02,44.25
1988-04-03,47.5
1988-04-04,48.5
1988-04-05,45
1988-04-06,43
1988-04-07,42
