Quarter,exports
1959-10-01,2537
1960-01-01,3379
1960-04-01,2999
1960-07-01,2809
1960-10-01,2516
1961-01-01,2799
1961-04-01,3230
1961-07-01,3759
1961-10-01,3122
1962-01-01,3641
1962-04-01,3584
1962-07-01,3610
1962-10-01,3035
1963-01-01,3620
1963-04-01,3518
1963-07-01,3487
1963-10-01,3708
1964-01-01,4190
1964-04-01,3959
1964-07-01,4026
1964-10-01,3605
1965-01-01,4057
1965-04-01,3970
1965-07-01,4211
1965-10-01,4011
1966-01-01,4113
1966-04-01,3841
1966-07-01,4083
1966-10-01,4201
1967-01-01,4232
1967-04-01,4492
1967-07-01,4905
1967-10-01,4583
1968-01-01,4894
1968-04-01,4460
1968-07-01,4754
1968-10-01,4723
1969-01-01,5447
1969-04-01,4728
1969-07-01,5016
1969-10-01,5675
1970-01-01,5838
1970-04-01,5752
1970-07-01,5926
1970-10-01,6223
1971-01-01,6482
1971-04-01,6032
1971-07-01,6725
1971-10-01,6773
1972-01-01,6916
1972-04-01,6859
1972-07-01,6845
1972-10-01,6753
1973-01-01,7355
1973-04-01,7155
1973-07-01,6693
1973-10-01,6693
1974-01-01,6833
1974-04-01,6254
1974-07-01,6460
1974-10-01,7006
1975-01-01,7234
1975-04-01,7069
1975-07-01,7458
1975-10-01,7388
1976-01-01,7384
1976-04-01,7436
1976-07-01,7761
1976-10-01,8481
1977-01-01,8124
1977-04-01,7631
1977-07-01,7830
1977-10-01,7979
1978-01-01,8590
1978-04-01,7957
1978-07-01,8289
1978-10-01,8195
1979-01-01,8866
1979-04-01,8888
1979-07-01,9173
1979-10-01,8820
1980-01-01,10058
1980-04-01,9468
1980-07-01,9258
1980-10-01,8611
1981-01-01,9220
1981-04-01,8671
1981-07-01,9236
1981-10-01,8693
1982-01-01,8740
1982-04-01,9320
1982-07-01,9868
1982-10-01,9448
1983-01-01,9724
1983-04-01,8479
1983-07-01,8999
1983-10-01,8885
1984-01-01,10141
1984-04-01,9774
1984-07-01,10542
1984-10-01,10819
1985-01-01,11199
1985-04-01,11272
1985-07-01,12050
1985-10-01,11372
1986-01-01,12457
1986-04-01,11684
1986-07-01,12169
1986-10-01,12284
1987-01-01,13457
1987-04-01,12820
1987-07-01,13794
1987-10-01,13606
1988-01-01,15114
1988-04-01,14769
1988-07-01,13514
1988-10-01,13916
1989-01-01,14931
1989-04-01,14089
1989-07-01,14877
1989-10-01,14745
1990-01-01,15274
1990-04-01,15450
1990-07-01,15512
1990-10-01,16099
1991-01-01,16956
1991-04-01,17008
1991-07-01,17925
1991-10-01,18184
1992-01-01,19138
1992-04-01,18076
1992-07-01,18585
1992-10-01,18766
1993-01-01,20427
1993-04-01,19159
1993-07-01,19878
1993-10-01,20475
1994-01-01,21998
1994-04-01,21583
1994-07-01,22025
1994-10-01,21955
1995-01-01,23180
1995-04-01,22085
1995-07-01,21853
